Proceso,Expediente Tipo,Expediente Número,Magistrado(a) ponente,Sala,Sentencia Tipo,Sentencia,Fecha Sentencia,SV-SPV,AV-APV
Tutela,T,23559,José Gregorio Hernández Galindo,Salas de Revisión,T,T-033/94,02/02/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,12965,José Gregorio Hernández Galindo,Salas de Revisión,T,T-034/94,02/02/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,17422,José Gregorio Hernández Galindo,Salas de Revisión,T,T-035/94,02/02/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,21640,José Gregorio Hernández Galindo,Salas de Revisión,T,T-036/94,02/02/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,358,Antonio Barrera Carbonell,Sala Plena,C,C-037/94,02/03/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,363,José Gregorio Hernández Galindo,Sala Plena,C,C-038/94,02/03/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,339,Antonio Barrera Carbonell,Sala Plena,C,C-039/94,02/03/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,359,Alejandro Martínez Caballero,Sala Plena,C,C-040/94,02/03/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,365,Eduardo Cifuentes Muñoz,Sala Plena,C,C-041/94,02/03/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,21459,Fabio Morón Díaz,Salas de Revisión,T,T-042/94,02/08/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,19628,Carlos Gaviria Díaz,Salas de Revisión,T,T-043/94,02/08/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,22246,Carlos Gaviria Díaz,Salas de Revisión,T,T-044/94,02/08/1994 12:00:00 AM,s.d.,s.d.
Ley Aprobatoria de Tratado,LAT,24,Hernando Herrera Vergara,Sala Plena,C,C-045/94,02/10/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,343,Eduardo Cifuentes Muñoz,Sala Plena,C,C-046/94,02/10/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,356,Jorge Arango Mejía,Sala Plena,C,C-047/94,02/10/1994 12:00:00 AM,s.d.,s.d.
Ley Aprobatoria de Tratado,LAT,19,Fabio Morón Díaz,Sala Plena,C,C-048/94,02/10/1994 12:00:00 AM,s.d.,s.d.
Ley Aprobatoria de Tratado,LAT,17,Antonio Barrera Carbonell,Sala Plena,C,C-049/94,02/10/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,330,Hernando Herrera Vergara,Sala Plena,C,C-050/94,02/10/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,20392,Jorge Arango Mejía,Salas de Revisión,T,T-051/94,02/10/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,22308,Hernando Herrera Vergara,Salas de Revisión,T,T-052/94,02/11/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,21438,Fabio Morón Díaz,Salas de Revisión,T,T-053/94,02/14/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,22267,Fabio Morón Díaz,Salas de Revisión,T,T-054/94,02/14/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,22923,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-055/94,02/14/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,22459,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-056/94,02/14/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,370,Fabio Morón Díaz,Sala Plena,C,C-057/94,02/15/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,369,Alejandro Martínez Caballero,Sala Plena,C,C-058/94,02/17/1994 12:00:00 AM,s.d.,s.d.
Ley Aprobatoria de Tratado,LAT,18,Vladimiro Naranjo Mesa,Sala Plena,C,C-059/94,02/17/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,372,Carlos Gaviria Díaz,Sala Plena,C,C-060/94,02/17/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,373,Fabio Morón Díaz,Sala Plena,C,C-061/94,02/17/1994 12:00:00 AM,s.d.,s.d.
